time_recorded,num,miss,date,mode,term,direction,etat
2022-06-24 11:14:01,PITO50,PITO,24/06/2022 11:19,R,87758789,1,Supprimé
2022-06-24 11:14:01,ILAV35,ILAV,24/06/2022 11:20,R,87271528,1,
2022-06-24 11:14:01,EPIR33,EPIR,24/06/2022 11:21,R,87001479,1,
2022-06-24 11:14:01,EPIR39,EPIR,24/06/2022 11:24,R,87758623,1,Supprimé
2022-06-24 11:14:01,KONI52,KONI,24/06/2022 11:28,R,87393579,1,
2022-06-24 11:14:01,ECHO37,ECHO,24/06/2022 11:29,R,87001479,1,
2022-06-24 11:14:01,SOIE54,SOIE,24/06/2022 11:31,R,87758722,1,
2022-06-24 11:14:01,ILAV41,ILAV,24/06/2022 11:38,R,87271528,0,
2022-06-24 11:14:01,PITO56,PITO,24/06/2022 11:40,R,87758896,1,
2022-06-24 11:14:01,ECHO43,ECHO,24/06/2022 11:41,R,87001479,0,
2022-06-24 11:14:01,EPIR45,EPIR,24/06/2022 11:45,R,87001479,0,
2022-06-24 11:14:01,KONI58,KONI,24/06/2022 11:46,R,87393579,1,
2022-06-24 11:14:01,SOIE60,SOIE,24/06/2022 11:52,R,87758722,0,
2022-06-24 11:14:01,ILAV47,ILAV,24/06/2022 11:54,R,87758623,0,Supprimé
2022-06-24 11:14:01,ECHO49,ECHO,24/06/2022 12:00,R,87001479,0,
2022-06-24 11:14:01,PITO62,PITO,24/06/2022 12:01,R,87758896,0,
2022-06-24 11:14:01,EPIR51,EPIR,24/06/2022 12:06,R,87001479,1,
2022-06-24 11:14:01,KONI64,KONI,24/06/2022 12:07,R,87758623,0,Supprimé
2022-06-24 11:14:01,SOIE66,SOIE,24/06/2022 12:13,R,87758722,0,
2022-06-24 11:14:01,ILAV53,ILAV,24/06/2022 12:15,R,87758623,1,Supprimé
2022-06-24 11:14:01,ECHO55,ECHO,24/06/2022 12:21,R,87001479,1,
2022-06-24 11:14:01,PITO68,PITO,24/06/2022 12:22,R,87758896,0,
2022-06-24 11:15:01,PITO50,PITO,24/06/2022 11:19,R,87758789,1,Supprimé
