time_recorded,num,miss,date,mode,term,direction,etat
2022-06-24 11:14:01,SOIE54,SOIE,24/06/2022 11:24,R,87758722,1,
2022-06-24 11:14:01,ILAV35,ILAV,24/06/2022 11:27,R,87271528,1,
2022-06-24 11:14:01,ILAV41,ILAV,24/06/2022 11:44,R,87271528,0,
2022-06-24 11:14:01,SOIE60,SOIE,24/06/2022 11:45,R,87758722,0,
2022-06-24 11:14:01,ILAV47,ILAV,24/06/2022 12:00,R,87758623,0,Supprimé
2022-06-24 11:14:01,SOIE66,SOIE,24/06/2022 12:06,R,87758722,0,
2022-06-24 11:14:01,ILAV53,ILAV,24/06/2022 12:21,R,87758623,1,Supprimé
2022-06-24 11:14:01,SOIE72,SOIE,24/06/2022 12:27,R,87758722,1,
2022-06-24 11:14:01,ILAV59,ILAV,24/06/2022 12:42,R,87758623,1,Supprimé
2022-06-24 11:14:01,SOIE78,SOIE,24/06/2022 12:48,R,87758722,1,
2022-06-24 11:14:01,ILAV65,ILAV,24/06/2022 13:03,R,87271528,0,
2022-06-24 11:14:01,SOIE84,SOIE,24/06/2022 13:09,R,87758722,0,
2022-06-24 11:14:01,ILAV71,ILAV,24/06/2022 13:24,R,87271528,1,
2022-06-24 11:14:01,SOIE90,SOIE,24/06/2022 13:30,R,87758722,1,
2022-06-24 11:14:01,ILAV77,ILAV,24/06/2022 13:45,R,87271528,1,
2022-06-24 11:14:01,SOIE96,SOIE,24/06/2022 13:51,R,87758722,1,
2022-06-24 11:14:01,ILAV83,ILAV,24/06/2022 14:06,R,87271528,0,
2022-06-24 11:14:01,SOFA04,SOFA,24/06/2022 14:12,R,87758722,0,
2022-06-24 11:14:01,ILAV89,ILAV,24/06/2022 14:27,R,87271528,0,
2022-06-24 11:14:01,ILAV95,ILAV,24/06/2022 14:48,R,87271528,1,
2022-06-24 11:15:01,SOIE54,SOIE,24/06/2022 11:24,R,87758722,1,
2022-06-24 11:15:01,ILAV35,ILAV,24/06/2022 11:26,R,87271528,1,
2022-06-24 11:15:01,ILAV41,ILAV,24/06/2022 11:43,R,87271528,0,
2022-06-24 11:15:01,SOIE60,SOIE,24/06/2022 11:45,R,87758722,0,
2022-06-24 11:15:01,ILAV47,ILAV,24/06/2022 12:00,R,87758623,0,Supprimé
2022-06-24 11:15:01,SOIE66,SOIE,24/06/2022 12:06,R,87758722,0,
2022-06-24 11:15:01,ILAV53,ILAV,24/06/2022 12:21,R,87758623,1,Supprimé
2022-06-24 11:15:01,SOIE72,SOIE,24/06/2022 12:27,R,87758722,1,
2022-06-24 11:15:01,ILAV59,ILAV,24/06/2022 12:42,R,87758623,1,Supprimé
2022-06-24 11:15:01,SOIE78,SOIE,24/06/2022 12:48,R,87758722,1,
2022-06-24 11:15:01,ILAV65,ILAV,24/06/2022 13:03,R,87271528,0,
2022-06-24 11:15:01,SOIE84,SOIE,24/06/2022 13:09,R,87758722,0,
2022-06-24 11:15:01,ILAV71,ILAV,24/06/2022 13:24,R,87271528,1,
2022-06-24 11:15:01,SOIE90,SOIE,24/06/2022 13:30,R,87758722,1,
2022-06-24 11:15:01,ILAV77,ILAV,24/06/2022 13:45,R,87271528,1,
2022-06-24 11:15:01,SOIE96,SOIE,24/06/2022 13:51,R,87758722,1,
2022-06-24 11:15:01,ILAV83,ILAV,24/06/2022 14:06,R,87271528,0,
2022-06-24 11:15:01,SOFA04,SOFA,24/06/2022 14:12,R,87758722,0,
2022-06-24 11:15:01,ILAV89,ILAV,24/06/2022 14:27,R,87271528,0,
2022-06-24 11:15:01,ILAV95,ILAV,24/06/2022 14:48,R,87271528,1,
