time_recorded,num,miss,date,mode,term,direction,etat
2022-06-25 00:06:08,EACE07,EACE,25/06/2022 00:12,R,87001479,0,
2022-06-25 00:06:08,EPAX11,EPAX,25/06/2022 00:28,R,87001479,1,
2022-06-25 00:06:08,EACE15,EACE,25/06/2022 00:40,R,87001479,1,
2022-06-25 00:07:02,EACE07,EACE,25/06/2022 00:12,R,87001479,0,
2022-06-25 00:07:02,EPAX11,EPAX,25/06/2022 00:28,R,87001479,1,
2022-06-25 00:07:02,EACE15,EACE,25/06/2022 00:40,R,87001479,1,
2022-06-25 00:07:50,EACE07,EACE,25/06/2022 00:13,R,87001479,0,
2022-06-25 00:07:50,EPAX11,EPAX,25/06/2022 00:28,R,87001479,1,
2022-06-25 00:07:50,EACE15,EACE,25/06/2022 00:41,R,87001479,1,
2022-06-25 00:09:01,EACE07,EACE,25/06/2022 00:11,R,87001479,0,
2022-06-25 00:09:01,EPAX11,EPAX,25/06/2022 00:32,R,87001479,1,
2022-06-25 00:09:01,EACE15,EACE,25/06/2022 00:41,R,87001479,1,
2022-06-25 00:10:01,EACE07,EACE,25/06/2022 00:11,R,87001479,0,
2022-06-25 00:10:01,EPAX11,EPAX,25/06/2022 00:32,R,87001479,1,
2022-06-25 00:10:01,EACE15,EACE,25/06/2022 00:41,R,87001479,1,
2022-06-25 00:11:01,EPAX11,EPAX,25/06/2022 00:32,R,87001479,1,
2022-06-25 00:11:01,EACE15,EACE,25/06/2022 00:41,R,87001479,1,
2022-06-25 00:12:01,EPAX11,EPAX,25/06/2022 00:35,R,87001479,1,
2022-06-25 00:12:01,EACE15,EACE,25/06/2022 00:41,R,87001479,1,
2022-06-25 00:13:01,EPAX11,EPAX,25/06/2022 00:35,R,87001479,1,
2022-06-25 00:13:01,EACE15,EACE,25/06/2022 00:38,R,87001479,1,
2022-06-25 10:58:00,EPEE25,EPEE,25/06/2022 11:01,R,87001479,0,
2022-06-25 10:58:00,PIER90,PIER,25/06/2022 11:09,R,87758896,1,
2022-06-25 10:58:00,EPEE31,EPEE,25/06/2022 11:10,R,87001479,1,
2022-06-25 10:58:00,ERUK35,ERUK,25/06/2022 11:15,R,87271486,1,
2022-06-25 10:58:00,KARI92,KARI,25/06/2022 11:16,R,87758623,1,
2022-06-25 10:58:00,PIER96,PIER,25/06/2022 11:24,R,87758896,1,
2022-06-25 10:58:00,EPEE37,EPEE,25/06/2022 11:26,R,87001479,1,
2022-06-25 10:58:00,EPEE79,EPEE,25/06/2022 11:38,R,87001479,1,
2022-06-25 10:58:00,PIST04,PIST,25/06/2022 11:39,R,87758896,0,
2022-06-25 10:58:00,KALI06,KALI,25/06/2022 11:46,R,87758623,0,
2022-06-25 10:58:00,EPEE85,EPEE,25/06/2022 11:54,R,87001479,0,
2022-06-25 10:58:00,PIST10,PIST,25/06/2022 11:54,R,87758896,1,
2022-06-25 10:58:00,EPAF91,EPAF,25/06/2022 12:08,R,87001479,1,
2022-06-25 10:58:00,PIST16,PIST,25/06/2022 12:09,R,87758896,1,
2022-06-25 10:58:00,EPAF97,EPAF,25/06/2022 12:23,R,87758623,1,Supprimé
2022-06-25 10:58:00,PIST22,PIST,25/06/2022 12:24,R,87758896,0,
2022-06-25 10:58:00,ERIO01,ERIO,25/06/2022 12:30,R,87271486,0,
2022-06-25 10:58:00,EPAU03,EPAU,25/06/2022 12:38,R,87001479,0,
2022-06-25 10:58:00,PIST28,PIST,25/06/2022 12:39,R,87758896,0,
2022-06-25 10:58:00,EPAU09,EPAU,25/06/2022 12:53,R,87001479,0,
2022-06-25 10:58:00,PIST34,PIST,25/06/2022 12:54,R,87758789,1,Supprimé
2022-06-25 10:58:00,EPAU15,EPAU,25/06/2022 13:08,R,87001479,1,
2022-06-25 10:58:00,EPAU21,EPAU,25/06/2022 13:23,R,87001479,0,
2022-06-25 10:58:00,EPAU27,EPAU,25/06/2022 13:38,R,87001479,0,
2022-06-25 10:58:00,EPAU33,EPAU,25/06/2022 13:53,R,87001479,1,
2022-06-25 10:58:00,EPAU39,EPAU,25/06/2022 14:08,R,87001479,1,
2022-06-25 10:59:01,EPEE25,EPEE,25/06/2022 11:01,R,87001479,0,
2022-06-25 10:59:01,PIER90,PIER,25/06/2022 11:09,R,87758896,1,
