time_recorded,num,miss,date,mode,term,direction,etat
2022-06-25 00:06:08,ILER13,ILER,25/06/2022 00:09,R,87271528,1,
2022-06-25 00:06:08,KOVI12,KOVI,25/06/2022 00:09,R,87758623,1,
2022-06-25 00:06:08,AQZZ008,AQZZ,25/06/2022 00:11,R,87758722,0,
2022-06-25 00:06:08,SOSY14,SOSY,25/06/2022 00:11,R,87758722,1,
2022-06-25 00:06:08,JQZZ60,JQZZ,25/06/2022 00:12,R,87758631,0,
2022-06-25 00:06:08,PILO16,PILO,25/06/2022 00:13,R,87758896,1,
2022-06-25 00:06:08,EACE15,EACE,25/06/2022 00:16,R,87001479,1,
2022-06-25 00:06:08,UQZZ66,UQZZ,25/06/2022 00:16,R,87758664,0,
2022-06-25 00:06:08,UQZZ66,UQZZ,25/06/2022 00:17,R,87758664,0,
2022-06-25 00:06:08,INES17,INES,25/06/2022 00:21,R,87758623,1,Supprimé
2022-06-25 00:06:08,JOVA18,JOVA,25/06/2022 00:22,R,87758631,1,
2022-06-25 00:06:08,JQZZ68,JQZZ,25/06/2022 00:22,R,87758631,0,
2022-06-25 00:06:08,JQZZ68,JQZZ,25/06/2022 00:23,R,87758631,0,
2022-06-25 00:06:08,SOSY22,SOSY,25/06/2022 00:26,R,87758722,0,
2022-06-25 00:06:08,PILO24,PILO,25/06/2022 00:27,R,87758896,0,
2022-06-25 00:06:08,UQZZ070,UQZZ,25/06/2022 00:28,R,87758664,1,
2022-06-25 00:06:08,UQZZ70,UQZZ,25/06/2022 00:29,R,87758664,1,
2022-06-25 00:06:08,IBEM19,IBEM,25/06/2022 00:36,R,87271528,1,
2022-06-25 00:06:08,JQZZ72,JQZZ,25/06/2022 00:36,R,87758631,1,
2022-06-25 00:06:08,KFAT26,KFAT,25/06/2022 00:40,R,87393579,0,
2022-06-25 00:06:08,SOSY28,SOSY,25/06/2022 00:47,R,87758722,0,
2022-06-25 00:06:08,ILER21,ILER,25/06/2022 00:51,R,87271528,0,
2022-06-25 00:07:02,ILER13,ILER,25/06/2022 00:09,R,87271528,1,
2022-06-25 00:07:02,KOVI12,KOVI,25/06/2022 00:09,R,87758623,1,
2022-06-25 00:07:02,SOSY14,SOSY,25/06/2022 00:11,R,87758722,1,
2022-06-25 00:07:02,AQZZ008,AQZZ,25/06/2022 00:12,R,87758722,0,
2022-06-25 00:07:02,JQZZ60,JQZZ,25/06/2022 00:13,R,87758631,0,
2022-06-25 00:07:02,PILO16,PILO,25/06/2022 00:14,R,87758896,1,
2022-06-25 00:07:02,UQZZ66,UQZZ,25/06/2022 00:16,R,87758664,0,
2022-06-25 00:07:02,EACE15,EACE,25/06/2022 00:17,R,87001479,1,
2022-06-25 00:07:02,UQZZ66,UQZZ,25/06/2022 00:17,R,87758664,0,
2022-06-25 00:07:02,INES17,INES,25/06/2022 00:21,R,87758623,1,Supprimé
2022-06-25 00:07:02,JOVA18,JOVA,25/06/2022 00:22,R,87758631,1,
2022-06-25 00:07:02,JQZZ68,JQZZ,25/06/2022 00:22,R,87758631,0,
2022-06-25 00:07:02,JQZZ68,JQZZ,25/06/2022 00:23,R,87758631,0,
2022-06-25 00:07:02,PILO24,PILO,25/06/2022 00:27,R,87758896,0,
2022-06-25 00:07:02,SOSY22,SOSY,25/06/2022 00:27,R,87758722,0,
2022-06-25 00:07:02,UQZZ070,UQZZ,25/06/2022 00:28,R,87758664,1,
2022-06-25 00:07:02,UQZZ70,UQZZ,25/06/2022 00:29,R,87758664,1,
2022-06-25 00:07:02,IBEM19,IBEM,25/06/2022 00:36,R,87271528,1,
2022-06-25 00:07:02,JQZZ72,JQZZ,25/06/2022 00:36,R,87758631,1,
2022-06-25 00:07:02,KFAT26,KFAT,25/06/2022 00:40,R,87393579,0,
2022-06-25 00:07:02,SOSY28,SOSY,25/06/2022 00:47,R,87758722,0,
2022-06-25 00:07:02,ILER21,ILER,25/06/2022 00:51,R,87271528,0,
2022-06-25 00:07:50,ILER13,ILER,25/06/2022 00:09,R,87271528,1,
2022-06-25 00:07:50,KOVI12,KOVI,25/06/2022 00:09,R,87758623,1,
2022-06-25 00:07:50,SOSY14,SOSY,25/06/2022 00:11,R,87758722,1,
2022-06-25 00:07:50,AQZZ008,AQZZ,25/06/2022 00:12,R,87758722,0,
2022-06-25 00:07:50,JQZZ60,JQZZ,25/06/2022 00:13,R,87758631,0,
2022-06-25 00:07:50,PILO16,PILO,25/06/2022 00:14,R,87758896,1,
2022-06-25 00:07:50,UQZZ66,UQZZ,25/06/2022 00:16,R,87758664,0,
2022-06-25 00:07:50,EACE15,EACE,25/06/2022 00:17,R,87001479,1,
