time_recorded,num,miss,date,mode,term,direction,etat
2022-06-25 00:06:08,KFAT26,KFAT,25/06/2022 00:13,R,87393579,0,
2022-06-25 00:06:08,INES09,INES,25/06/2022 00:20,R,87271528,0,
2022-06-25 00:06:08,SOSY28,SOSY,25/06/2022 00:21,R,87758722,0,
2022-06-25 00:06:08,ILER13,ILER,25/06/2022 00:34,R,87271528,1,
2022-06-25 00:06:08,INES17,INES,25/06/2022 00:45,R,87758623,1,Supprimé
2022-06-25 00:06:08,IBEM19,IBEM,25/06/2022 01:00,R,87271528,1,
2022-06-25 00:06:08,ILER21,ILER,25/06/2022 01:15,R,87271528,0,
2022-06-25 00:07:02,KFAT26,KFAT,25/06/2022 00:13,R,87393579,0,
2022-06-25 00:07:02,INES09,INES,25/06/2022 00:20,R,87271528,0,
2022-06-25 00:07:02,SOSY28,SOSY,25/06/2022 00:21,R,87758722,0,
2022-06-25 00:07:02,ILER13,ILER,25/06/2022 00:34,R,87271528,1,
2022-06-25 00:07:02,INES17,INES,25/06/2022 00:45,R,87758623,1,Supprimé
2022-06-25 00:07:02,IBEM19,IBEM,25/06/2022 01:00,R,87271528,1,
2022-06-25 00:07:02,ILER21,ILER,25/06/2022 01:15,R,87271528,0,
2022-06-25 00:07:50,KFAT26,KFAT,25/06/2022 00:14,R,87393579,0,
2022-06-25 00:07:50,INES09,INES,25/06/2022 00:20,R,87271528,0,
2022-06-25 00:07:50,SOSY28,SOSY,25/06/2022 00:21,R,87758722,0,
2022-06-25 00:07:50,ILER13,ILER,25/06/2022 00:34,R,87271528,1,
2022-06-25 00:07:50,INES17,INES,25/06/2022 00:45,R,87758623,1,Supprimé
2022-06-25 00:07:50,IBEM19,IBEM,25/06/2022 01:00,R,87271528,1,
2022-06-25 00:07:50,ILER21,ILER,25/06/2022 01:15,R,87271528,0,
2022-06-25 00:09:01,KFAT26,KFAT,25/06/2022 00:15,R,87393579,0,
2022-06-25 00:09:01,INES09,INES,25/06/2022 00:20,R,87271528,0,
2022-06-25 00:09:01,SOSY28,SOSY,25/06/2022 00:21,R,87758722,0,
2022-06-25 00:09:01,ILER13,ILER,25/06/2022 00:35,R,87271528,1,
2022-06-25 00:09:01,INES17,INES,25/06/2022 00:45,R,87758623,1,Supprimé
2022-06-25 00:09:01,IBEM19,IBEM,25/06/2022 01:00,R,87271528,1,
2022-06-25 00:09:01,ILER21,ILER,25/06/2022 01:15,R,87271528,0,
2022-06-25 00:10:01,KFAT26,KFAT,25/06/2022 00:16,R,87393579,0,
2022-06-25 00:10:01,INES09,INES,25/06/2022 00:19,R,87271528,0,
2022-06-25 00:10:01,SOSY28,SOSY,25/06/2022 00:21,R,87758722,0,
2022-06-25 00:10:01,ILER13,ILER,25/06/2022 00:36,R,87271528,1,
2022-06-25 00:10:01,INES17,INES,25/06/2022 00:45,R,87758623,1,Supprimé
2022-06-25 00:10:01,IBEM19,IBEM,25/06/2022 01:00,R,87271528,1,
2022-06-25 00:10:01,ILER21,ILER,25/06/2022 01:15,R,87271528,0,
2022-06-25 00:11:01,KFAT26,KFAT,25/06/2022 00:17,R,87393579,0,
2022-06-25 00:11:01,INES09,INES,25/06/2022 00:20,R,87271528,0,
2022-06-25 00:11:01,SOSY28,SOSY,25/06/2022 00:21,R,87758722,0,
2022-06-25 00:11:01,ILER13,ILER,25/06/2022 00:36,R,87271528,1,
