trip_id;trip_line;destination;destination_id;origin;origin_id;time_departure;arrival;arrival_id;time_arrival;time_travelled
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Mitry - Claye;IDFM:69065;Aulnay-sous-Bois;IDFM:72646;87860.0;Sevran - Livry;IDFM:73439;88030.0;170.0
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Mitry - Claye;IDFM:69065;Sevran - Livry;IDFM:73439;88060.0;Vert Galant;IDFM:73482;88210.0;150.0
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Mitry - Claye;IDFM:69065;Vert Galant;IDFM:73482;88240.0;Villeparisis - Mitry-le-Neuf;IDFM:68916;88400.0;160.0
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Mitry - Claye;IDFM:69065;Villeparisis - Mitry-le-Neuf;IDFM:68916;88430.0;Mitry - Claye;IDFM:69065;88710.0;280.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Robinson;IDFM:427230;85917.0;Fontenay-aux-Roses;IDFM:70133;86038.0;121.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Fontenay-aux-Roses;IDFM:70133;86068.0;Sceaux;IDFM:74265;86142.0;74.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Sceaux;IDFM:74265;86172.0;Bourg-la-Reine;IDFM:70033;86260.0;88.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Bourg-la-Reine;IDFM:70033;86300.0;Bagneux;IDFM:70210;86425.0;125.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Bagneux;IDFM:70210;86455.0;Arcueil - Cachan;IDFM:70263;86525.0;70.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Arcueil - Cachan;IDFM:70263;86555.0;Laplace;IDFM:70427;86648.0;93.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Laplace;IDFM:70427;86678.0;Gentilly;IDFM:70543;86755.0;77.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Gentilly;IDFM:70543;86780.0;Cité Universitaire;IDFM:70623;86846.0;66.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Cité Universitaire;IDFM:70623;86876.0;Denfert-Rochereau;IDFM:71056;86986.0;110.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Denfert-Rochereau;IDFM:71056;87026.0;Luxembourg;IDFM:71161;87143.0;117.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Luxembourg;IDFM:71161;87173.0;Saint-Michel Notre-Dame;IDFM:73620;87269.0;96.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Saint-Michel Notre-Dame;IDFM:73620;87309.0;Châtelet les Halles;IDFM:474151;87389.0;80.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Châtelet les Halles;IDFM:474151;87420.0;Gare du Nord;IDFM:71410;87600.0;180.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Gare du Nord;IDFM:71410;87660.0;La Plaine Stade de France;IDFM:72211;87920.0;260.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;La Plaine Stade de France;IDFM:72211;87970.0;La Courneuve - Aubervilliers;IDFM:72598;88080.0;110.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;La Courneuve - Aubervilliers;IDFM:72598;88110.0;Le Bourget;IDFM:72641;88280.0;170.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Le Bourget;IDFM:72641;88310.0;Drancy;IDFM:72652;88440.0;130.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Drancy;IDFM:72652;88470.0;Le Blanc-Mesnil;IDFM:72648;88570.0;100.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Le Blanc-Mesnil;IDFM:72648;88600.0;Aulnay-sous-Bois;IDFM:72646;88710.0;110.0
