trip_id,trip_line,trip_headsign,trip_short_name,destination,destination_id,origin,origin_id,time_departure,arrival,arrival_id,time_arrival,time_travelled,direction
IDFM:TN:SNCF:0283c399-2306-40df-a129-cbe637436e9d,IDFM:C01743,ILOT,ILIT93,Mitry - Claye,IDFM:69065,Vert Galant,IDFM:73482,60930.0,Villeparisis - Mitry-le-Neuf,IDFM:68916,61080.0,150.0,1.0
IDFM:TN:SNCF:0283c399-2306-40df-a129-cbe637436e9d,IDFM:C01743,ILOT,ILIT93,Mitry - Claye,IDFM:69065,Villeparisis - Mitry-le-Neuf,IDFM:68916,61110.0,Mitry - Claye,IDFM:69065,61350.0,240.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Denfert-Rochereau,IDFM:71056,84853.0,Luxembourg,IDFM:71161,84984.0,131.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Luxembourg,IDFM:71161,85017.0,Saint-Michel Notre-Dame,IDFM:73620,85113.0,96.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Saint-Michel Notre-Dame,IDFM:73620,85149.0,Châtelet les Halles,IDFM:474151,85229.0,80.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Châtelet les Halles,IDFM:474151,85260.0,Gare du Nord,IDFM:71410,85440.0,180.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Gare du Nord,IDFM:71410,85500.0,La Plaine Stade de France,IDFM:72211,85760.0,260.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,La Plaine Stade de France,IDFM:72211,85810.0,La Courneuve - Aubervilliers,IDFM:72598,85920.0,110.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,La Courneuve - Aubervilliers,IDFM:72598,85950.0,Le Bourget,IDFM:72641,86120.0,170.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Le Bourget,IDFM:72641,86150.0,Drancy,IDFM:72652,86280.0,130.0,1.0
