,trip_id,trip_line,trip_headsign,trip_short_name,destination,destination_id,origin,origin_id,time_departure,arrival,arrival_id,time_arrival,time_travelled,direction
20,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Laplace,IDFM:70427,80549.0,Gentilly,IDFM:70543,80625.0,76.0,1.0
21,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Gentilly,IDFM:70543,80649.0,Cité Universitaire,IDFM:70623,80715.0,66.0,1.0
22,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Cité Universitaire,IDFM:70623,80742.0,Denfert-Rochereau,IDFM:71056,80852.0,110.0,1.0
23,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Denfert-Rochereau,IDFM:71056,80904.0,Luxembourg,IDFM:71161,81024.0,120.0,1.0
24,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Luxembourg,IDFM:71161,81057.0,Saint-Michel Notre-Dame,IDFM:73620,81153.0,96.0,1.0
25,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Saint-Michel Notre-Dame,IDFM:73620,81189.0,Châtelet les Halles,IDFM:474151,81269.0,80.0,1.0
26,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Châtelet les Halles,IDFM:474151,81300.0,Gare du Nord,IDFM:71410,81480.0,180.0,1.0
27,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Gare du Nord,IDFM:71410,81540.0,La Plaine Stade de France,IDFM:72211,81800.0,260.0,1.0
28,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,La Plaine Stade de France,IDFM:72211,81850.0,La Courneuve - Aubervilliers,IDFM:72598,81960.0,110.0,1.0
29,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,La Courneuve - Aubervilliers,IDFM:72598,81990.0,Le Bourget,IDFM:72641,82160.0,170.0,1.0
