time_recorded,num,miss,date,mode,term,direction,etat
2022-06-24 10:06:43,ILAV17,ILAV,24-06-2022 10:19,R,87271528,1,
2022-06-24 10:06:43,SOIE36,SOIE,24-06-2022 10:21,R,87758722,1,
2022-06-24 10:06:43,ILAV23,ILAV,24-06-2022 10:36,R,87271528,0,
2022-06-24 10:06:43,SOIE42,SOIE,24-06-2022 10:39,R,87758722,0,
2022-06-24 10:06:43,ILAV29,ILAV,24-06-2022 10:59,R,87271528,0,
2022-06-24 10:06:43,SOIE48,SOIE,24-06-2022 11:00,R,87758722,0,
2022-06-24 10:06:43,ILAV35,ILAV,24-06-2022 11:20,R,87271528,1,
2022-06-24 10:06:43,SOIE54,SOIE,24-06-2022 11:24,R,87758722,1,
2022-06-24 10:06:43,ILAV41,ILAV,24-06-2022 11:39,R,87271528,0,
2022-06-24 10:06:43,SOIE60,SOIE,24-06-2022 11:45,R,87758722,0,
2022-06-24 10:06:43,ILAV47,ILAV,24-06-2022 12:00,R,87758623,0,Supprimé
2022-06-24 10:06:43,SOIE66,SOIE,24-06-2022 12:06,R,87758722,0,
2022-06-24 10:06:43,ILAV53,ILAV,24-06-2022 12:21,R,87758623,1,Supprimé
2022-06-24 10:06:43,SOIE72,SOIE,24-06-2022 12:27,R,87758722,1,
2022-06-24 10:06:43,ILAV59,ILAV,24-06-2022 12:42,R,87758623,1,Supprimé
2022-06-24 10:06:43,SOIE78,SOIE,24-06-2022 12:48,R,87758722,1,
2022-06-24 10:06:43,ILAV65,ILAV,24-06-2022 13:03,R,87271528,0,
2022-06-24 10:06:43,ILAV71,ILAV,24-06-2022 13:24,R,87271528,1,
2022-06-24 10:06:43,ILAV77,ILAV,24-06-2022 13:45,R,87271528,1,
2022-06-24 10:06:43,ILAV17,ILAV,24-06-2022 10:19,R,87271528,1,
2022-06-24 10:06:43,SOIE36,SOIE,24-06-2022 10:21,R,87758722,1,
2022-06-24 10:06:43,ILAV23,ILAV,24-06-2022 10:36,R,87271528,0,
2022-06-24 10:06:43,SOIE42,SOIE,24-06-2022 10:39,R,87758722,0,
2022-06-24 10:06:43,ILAV29,ILAV,24-06-2022 10:59,R,87271528,0,
2022-06-24 10:06:43,SOIE48,SOIE,24-06-2022 11:00,R,87758722,0,
2022-06-24 10:06:43,ILAV35,ILAV,24-06-2022 11:20,R,87271528,1,
2022-06-24 10:06:43,SOIE54,SOIE,24-06-2022 11:24,R,87758722,1,
2022-06-24 10:06:43,ILAV41,ILAV,24-06-2022 11:39,R,87271528,0,
2022-06-24 10:06:43,SOIE60,SOIE,24-06-2022 11:45,R,87758722,0,
2022-06-24 10:06:43,ILAV47,ILAV,24-06-2022 12:00,R,87758623,0,Supprimé
2022-06-24 10:06:43,SOIE66,SOIE,24-06-2022 12:06,R,87758722,0,
2022-06-24 10:06:43,ILAV53,ILAV,24-06-2022 12:21,R,87758623,1,Supprimé
2022-06-24 10:06:43,SOIE72,SOIE,24-06-2022 12:27,R,87758722,1,
2022-06-24 10:06:43,ILAV59,ILAV,24-06-2022 12:42,R,87758623,1,Supprimé
2022-06-24 10:06:43,SOIE78,SOIE,24-06-2022 12:48,R,87758722,1,
2022-06-24 10:06:43,ILAV65,ILAV,24-06-2022 13:03,R,87271528,0,
2022-06-24 10:06:43,ILAV71,ILAV,24-06-2022 13:24,R,87271528,1,
2022-06-24 10:06:43,ILAV77,ILAV,24-06-2022 13:45,R,87271528,1,
2022-06-24 10:06:43,ILAV17,ILAV,24-06-2022 10:19,R,87271528,1,
2022-06-24 10:06:43,SOIE36,SOIE,24-06-2022 10:21,R,87758722,1,
2022-06-24 10:06:43,ILAV23,ILAV,24-06-2022 10:36,R,87271528,0,
